,IV_count_Action,IV_count_Adventure,IV_count_Early+Access,IV_count_Ex+Early+Access,IV_count_Free,IV_count_Indie,IV_count_Massively,IV_count_RPG,IV_count_Simulation,IV_count_Sports,IV_count_Strategy,IV_count_Others
0,0,1160,0,0,0,1960,0,0,0,0,0,0
1,0,1660,0,0,0,2704,0,0,0,0,0,0
2,0,992,0,0,0,1599,0,0,0,0,0,0
3,0,1079,0,0,0,1724,0,0,0,0,0,0
4,0,1159,0,0,0,1764,0,0,0,0,0,0
5,0,1038,0,0,0,1779,0,0,0,0,0,0
6,0,1286,0,0,0,1986,0,0,0,0,0,0
7,0,1384,0,0,0,2166,0,0,0,0,0,0
8,0,1061,0,0,0,1731,0,0,0,0,0,0
9,0,1204,0,0,0,1827,0,0,0,0,0,0
10,0,834,0,0,0,1175,0,0,0,0,0,0
11,0,1612,0,0,0,2545,0,0,0,0,0,0
12,0,1160,0,0,0,1960,0,0,0,0,0,0
13,0,1660,0,0,0,2704,0,0,0,0,0,0
14,0,992,0,0,0,1599,0,0,0,0,0,0
15,0,1079,0,0,0,1724,0,0,0,0,0,0
16,0,1159,0,0,0,1764,0,0,0,0,0,0
17,0,1038,0,0,0,1779,0,0,0,0,0,0
18,0,1286,0,0,0,1986,0,0,0,0,0,0
19,0,1384,0,0,0,2166,0,0,0,0,0,0
20,0,1061,0,0,0,1731,0,0,0,0,0,0
21,0,1204,0,0,0,1827,0,0,0,0,0,0
22,0,834,0,0,0,1175,0,0,0,0,0,0
23,0,1612,0,0,0,2545,0,0,0,0,0,0
24,1407,0,0,0,0,0,0,590,0,0,0,0
25,1996,0,0,0,0,0,0,782,0,0,0,0
26,1176,0,0,0,0,0,0,492,0,0,0,0
27,1325,0,0,0,0,0,0,533,0,0,0,0
28,1361,0,0,0,0,0,0,601,0,0,0,0
29,1279,0,0,0,0,0,0,561,0,0,0,0
30,1539,0,0,0,0,0,0,629,0,0,0,0
31,1673,0,0,0,0,0,0,706,0,0,0,0
32,1240,0,0,0,0,0,0,562,0,0,0,0
33,1430,0,0,0,0,0,0,634,0,0,0,0
34,1030,0,0,0,0,0,0,412,0,0,0,0
35,1891,0,0,0,0,0,0,836,0,0,0,0
36,0,1160,0,0,0,0,0,0,0,0,0,0
37,0,1660,0,0,0,0,0,0,0,0,0,0
38,0,992,0,0,0,0,0,0,0,0,0,0
39,0,1079,0,0,0,0,0,0,0,0,0,0
40,0,1159,0,0,0,0,0,0,0,0,0,0
41,0,1038,0,0,0,0,0,0,0,0,0,0
42,0,1286,0,0,0,0,0,0,0,0,0,0
43,0,1384,0,0,0,0,0,0,0,0,0,0
44,0,1061,0,0,0,0,0,0,0,0,0,0
45,0,1204,0,0,0,0,0,0,0,0,0,0
46,0,834,0,0,0,0,0,0,0,0,0,0
47,0,1612,0,0,0,0,0,0,0,0,0,0
48,0,1160,0,0,0,1960,0,0,593,0,0,0
49,0,1660,0,0,0,2704,0,0,792,0,0,0
50,0,992,0,0,0,1599,0,0,470,0,0,0
51,0,1079,0,0,0,1724,0,0,583,0,0,0
52,0,1159,0,0,0,1764,0,0,565,0,0,0
53,0,1038,0,0,0,1779,0,0,565,0,0,0
54,0,1286,0,0,0,1986,0,0,669,0,0,0
55,0,1384,0,0,0,2166,0,0,701,0,0,0
56,0,1061,0,0,0,1731,0,0,556,0,0,0
57,0,1204,0,0,0,1827,0,0,620,0,0,0
58,0,834,0,0,0,1175,0,0,442,0,0,0
59,0,1612,0,0,0,2545,0,0,846,0,0,0
60,0,1160,0,225,0,1960,0,0,0,0,0,0
61,0,1660,0,286,0,2704,0,0,0,0,0,0
62,0,992,0,142,0,1599,0,0,0,0,0,0
63,0,1079,0,225,0,1724,0,0,0,0,0,0
64,0,1159,0,224,0,1764,0,0,0,0,0,0
65,0,1038,0,236,0,1779,0,0,0,0,0,0
66,0,1286,0,247,0,1986,0,0,0,0,0,0
67,0,1384,0,283,0,2166,0,0,0,0,0,0
68,0,1061,0,199,0,1731,0,0,0,0,0,0
69,0,1204,0,224,0,1827,0,0,0,0,0,0
70,0,834,0,181,0,1175,0,0,0,0,0,0
71,0,1612,0,269,0,2545,0,0,0,0,0,0
72,1407,1160,0,0,0,1960,0,0,0,0,0,0
73,1996,1660,0,0,0,2704,0,0,0,0,0,0
74,1176,992,0,0,0,1599,0,0,0,0,0,0
75,1325,1079,0,0,0,1724,0,0,0,0,0,0
76,1361,1159,0,0,0,1764,0,0,0,0,0,0
77,1279,1038,0,0,0,1779,0,0,0,0,0,0
78,1539,1286,0,0,0,1986,0,0,0,0,0,0
79,1673,1384,0,0,0,2166,0,0,0,0,0,0
80,1240,1061,0,0,0,1731,0,0,0,0,0,0
81,1430,1204,0,0,0,1827,0,0,0,0,0,0
82,1030,834,0,0,0,1175,0,0,0,0,0,0
83,1891,1612,0,0,0,2545,0,0,0,0,0,0
84,1407,0,0,0,0,1960,0,590,0,0,0,0
85,1996,0,0,0,0,2704,0,782,0,0,0,0
86,1176,0,0,0,0,1599,0,492,0,0,0,0
87,1325,0,0,0,0,1724,0,533,0,0,0,0
88,1361,0,0,0,0,1764,0,601,0,0,0,0
89,1279,0,0,0,0,1779,0,561,0,0,0,0
90,1539,0,0,0,0,1986,0,629,0,0,0,0
91,1673,0,0,0,0,2166,0,706,0,0,0,0
92,1240,0,0,0,0,1731,0,562,0,0,0,0
93,1430,0,0,0,0,1827,0,634,0,0,0,0
94,1030,0,0,0,0,1175,0,412,0,0,0,0
95,1891,0,0,0,0,2545,0,836,0,0,0,0
96,1407,0,0,0,0,0,0,0,593,0,677,0
97,1996,0,0,0,0,0,0,0,792,0,899,0
98,1176,0,0,0,0,0,0,0,470,0,557,0
99,1325,0,0,0,0,0,0,0,583,0,696,0
100,1361,0,0,0,0,0,0,0,565,0,669,0
101,1279,0,0,0,0,0,0,0,565,0,651,0
102,1539,0,0,0,0,0,0,0,669,0,715,0
103,1673,0,0,0,0,0,0,0,701,0,776,0
104,1240,0,0,0,0,0,0,0,556,0,609,0
105,1430,0,0,0,0,0,0,0,620,0,695,0
106,1030,0,0,0,0,0,0,0,442,0,513,0
107,1891,0,0,0,0,0,0,0,846,0,942,0
108,1407,1160,0,0,0,1960,0,590,0,0,0,0
109,1996,1660,0,0,0,2704,0,782,0,0,0,0
110,1176,992,0,0,0,1599,0,492,0,0,0,0
111,1325,1079,0,0,0,1724,0,533,0,0,0,0
112,1361,1159,0,0,0,1764,0,601,0,0,0,0
113,1279,1038,0,0,0,1779,0,561,0,0,0,0
114,1539,1286,0,0,0,1986,0,629,0,0,0,0
115,1673,1384,0,0,0,2166,0,706,0,0,0,0
116,1240,1061,0,0,0,1731,0,562,0,0,0,0
117,1430,1204,0,0,0,1827,0,634,0,0,0,0
118,1030,834,0,0,0,1175,0,412,0,0,0,0
119,1891,1612,0,0,0,2545,0,836,0,0,0,0
120,1407,0,0,0,0,1960,0,0,0,0,0,0
121,1996,0,0,0,0,2704,0,0,0,0,0,0
122,1176,0,0,0,0,1599,0,0,0,0,0,0
123,1325,0,0,0,0,1724,0,0,0,0,0,0
124,1361,0,0,0,0,1764,0,0,0,0,0,0
125,1279,0,0,0,0,1779,0,0,0,0,0,0
126,1539,0,0,0,0,1986,0,0,0,0,0,0
127,1673,0,0,0,0,2166,0,0,0,0,0,0
128,1240,0,0,0,0,1731,0,0,0,0,0,0
129,1430,0,0,0,0,1827,0,0,0,0,0,0
130,1030,0,0,0,0,1175,0,0,0,0,0,0
131,1891,0,0,0,0,2545,0,0,0,0,0,0
132,0,0,0,0,0,0,0,590,0,0,677,0
133,0,0,0,0,0,0,0,782,0,0,899,0
134,0,0,0,0,0,0,0,492,0,0,557,0
135,0,0,0,0,0,0,0,533,0,0,696,0
136,0,0,0,0,0,0,0,601,0,0,669,0
137,0,0,0,0,0,0,0,561,0,0,651,0
138,0,0,0,0,0,0,0,629,0,0,715,0
139,0,0,0,0,0,0,0,706,0,0,776,0
140,0,0,0,0,0,0,0,562,0,0,609,0
141,0,0,0,0,0,0,0,634,0,0,695,0
142,0,0,0,0,0,0,0,412,0,0,513,0
143,0,0,0,0,0,0,0,836,0,0,942,0
144,0,1160,0,0,0,1960,0,0,0,0,0,0
145,0,1660,0,0,0,2704,0,0,0,0,0,0
146,0,992,0,0,0,1599,0,0,0,0,0,0
147,0,1079,0,0,0,1724,0,0,0,0,0,0
148,0,1159,0,0,0,1764,0,0,0,0,0,0
149,0,1038,0,0,0,1779,0,0,0,0,0,0
150,0,1286,0,0,0,1986,0,0,0,0,0,0
151,0,1384,0,0,0,2166,0,0,0,0,0,0
152,0,1061,0,0,0,1731,0,0,0,0,0,0
153,0,1204,0,0,0,1827,0,0,0,0,0,0
154,0,834,0,0,0,1175,0,0,0,0,0,0
155,0,1612,0,0,0,2545,0,0,0,0,0,0
156,1407,1160,0,0,0,1960,0,0,0,0,0,0
157,1996,1660,0,0,0,2704,0,0,0,0,0,0
158,1176,992,0,0,0,1599,0,0,0,0,0,0
159,1325,1079,0,0,0,1724,0,0,0,0,0,0
160,1361,1159,0,0,0,1764,0,0,0,0,0,0
161,1279,1038,0,0,0,1779,0,0,0,0,0,0
162,1539,1286,0,0,0,1986,0,0,0,0,0,0
163,1673,1384,0,0,0,2166,0,0,0,0,0,0
164,1240,1061,0,0,0,1731,0,0,0,0,0,0
165,1430,1204,0,0,0,1827,0,0,0,0,0,0
166,1030,834,0,0,0,1175,0,0,0,0,0,0
167,1891,1612,0,0,0,2545,0,0,0,0,0,0
168,1407,1160,0,0,0,1960,0,0,0,0,0,0
169,1996,1660,0,0,0,2704,0,0,0,0,0,0
170,1176,992,0,0,0,1599,0,0,0,0,0,0
171,1325,1079,0,0,0,1724,0,0,0,0,0,0
172,1361,1159,0,0,0,1764,0,0,0,0,0,0
173,1279,1038,0,0,0,1779,0,0,0,0,0,0
174,1539,1286,0,0,0,1986,0,0,0,0,0,0
175,1673,1384,0,0,0,2166,0,0,0,0,0,0
176,1240,1061,0,0,0,1731,0,0,0,0,0,0
177,1430,1204,0,0,0,1827,0,0,0,0,0,0
178,1030,834,0,0,0,1175,0,0,0,0,0,0
179,1891,1612,0,0,0,2545,0,0,0,0,0,0
180,1407,1160,0,0,0,0,0,0,0,0,0,0
181,1996,1660,0,0,0,0,0,0,0,0,0,0
182,1176,992,0,0,0,0,0,0,0,0,0,0
183,1325,1079,0,0,0,0,0,0,0,0,0,0
184,1361,1159,0,0,0,0,0,0,0,0,0,0
185,1279,1038,0,0,0,0,0,0,0,0,0,0
186,1539,1286,0,0,0,0,0,0,0,0,0,0
187,1673,1384,0,0,0,0,0,0,0,0,0,0
188,1240,1061,0,0,0,0,0,0,0,0,0,0
189,1430,1204,0,0,0,0,0,0,0,0,0,0
190,1030,834,0,0,0,0,0,0,0,0,0,0
191,1891,1612,0,0,0,0,0,0,0,0,0,0
192,0,0,0,0,0,0,0,590,0,0,0,0
193,0,0,0,0,0,0,0,782,0,0,0,0
194,0,0,0,0,0,0,0,492,0,0,0,0
195,0,0,0,0,0,0,0,533,0,0,0,0
196,0,0,0,0,0,0,0,601,0,0,0,0
197,0,0,0,0,0,0,0,561,0,0,0,0
198,0,0,0,0,0,0,0,629,0,0,0,0
199,0,0,0,0,0,0,0,706,0,0,0,0
200,0,0,0,0,0,0,0,562,0,0,0,0
201,0,0,0,0,0,0,0,634,0,0,0,0
202,0,0,0,0,0,0,0,412,0,0,0,0
203,0,0,0,0,0,0,0,836,0,0,0,0
204,0,0,0,0,0,1960,0,0,593,0,0,0
205,0,0,0,0,0,2704,0,0,792,0,0,0
206,0,0,0,0,0,1599,0,0,470,0,0,0
207,0,0,0,0,0,1724,0,0,583,0,0,0
208,0,0,0,0,0,1764,0,0,565,0,0,0
209,0,0,0,0,0,1779,0,0,565,0,0,0
210,0,0,0,0,0,1986,0,0,669,0,0,0
211,0,0,0,0,0,2166,0,0,701,0,0,0
212,0,0,0,0,0,1731,0,0,556,0,0,0
213,0,0,0,0,0,1827,0,0,620,0,0,0
214,0,0,0,0,0,1175,0,0,442,0,0,0
215,0,0,0,0,0,2545,0,0,846,0,0,0
216,0,0,0,0,0,1960,0,0,593,0,0,0
217,0,0,0,0,0,2704,0,0,792,0,0,0
218,0,0,0,0,0,1599,0,0,470,0,0,0
219,0,0,0,0,0,1724,0,0,583,0,0,0
220,0,0,0,0,0,1764,0,0,565,0,0,0
221,0,0,0,0,0,1779,0,0,565,0,0,0
222,0,0,0,0,0,1986,0,0,669,0,0,0
223,0,0,0,0,0,2166,0,0,701,0,0,0
224,0,0,0,0,0,1731,0,0,556,0,0,0
225,0,0,0,0,0,1827,0,0,620,0,0,0
226,0,0,0,0,0,1175,0,0,442,0,0,0
227,0,0,0,0,0,2545,0,0,846,0,0,0
228,0,0,0,0,0,1960,0,0,593,0,0,0
229,0,0,0,0,0,2704,0,0,792,0,0,0
230,0,0,0,0,0,1599,0,0,470,0,0,0
231,0,0,0,0,0,1724,0,0,583,0,0,0
232,0,0,0,0,0,1764,0,0,565,0,0,0
233,0,0,0,0,0,1779,0,0,565,0,0,0
234,0,0,0,0,0,1986,0,0,669,0,0,0
235,0,0,0,0,0,2166,0,0,701,0,0,0
236,0,0,0,0,0,1731,0,0,556,0,0,0
237,0,0,0,0,0,1827,0,0,620,0,0,0
238,0,0,0,0,0,1175,0,0,442,0,0,0
239,0,0,0,0,0,2545,0,0,846,0,0,0
240,1407,1160,0,225,0,1960,0,0,0,0,0,0
241,1996,1660,0,286,0,2704,0,0,0,0,0,0
242,1176,992,0,142,0,1599,0,0,0,0,0,0
243,1325,1079,0,225,0,1724,0,0,0,0,0,0
244,1361,1159,0,224,0,1764,0,0,0,0,0,0
245,1279,1038,0,236,0,1779,0,0,0,0,0,0
246,1539,1286,0,247,0,1986,0,0,0,0,0,0
247,1673,1384,0,283,0,2166,0,0,0,0,0,0
248,1240,1061,0,199,0,1731,0,0,0,0,0,0
249,1430,1204,0,224,0,1827,0,0,0,0,0,0
250,1030,834,0,181,0,1175,0,0,0,0,0,0
251,1891,1612,0,269,0,2545,0,0,0,0,0,0
252,0,1160,0,225,0,1960,0,590,0,0,677,0
253,0,1660,0,286,0,2704,0,782,0,0,899,0
254,0,992,0,142,0,1599,0,492,0,0,557,0
255,0,1079,0,225,0,1724,0,533,0,0,696,0
256,0,1159,0,224,0,1764,0,601,0,0,669,0
257,0,1038,0,236,0,1779,0,561,0,0,651,0
258,0,1286,0,247,0,1986,0,629,0,0,715,0
259,0,1384,0,283,0,2166,0,706,0,0,776,0
260,0,1061,0,199,0,1731,0,562,0,0,609,0
261,0,1204,0,224,0,1827,0,634,0,0,695,0
262,0,834,0,181,0,1175,0,412,0,0,513,0
263,0,1612,0,269,0,2545,0,836,0,0,942,0
264,0,1160,0,225,0,1960,0,0,0,0,0,0
265,0,1660,0,286,0,2704,0,0,0,0,0,0
266,0,992,0,142,0,1599,0,0,0,0,0,0
267,0,1079,0,225,0,1724,0,0,0,0,0,0
268,0,1159,0,224,0,1764,0,0,0,0,0,0
269,0,1038,0,236,0,1779,0,0,0,0,0,0
270,0,1286,0,247,0,1986,0,0,0,0,0,0
271,0,1384,0,283,0,2166,0,0,0,0,0,0
272,0,1061,0,199,0,1731,0,0,0,0,0,0
273,0,1204,0,224,0,1827,0,0,0,0,0,0
274,0,834,0,181,0,1175,0,0,0,0,0,0
275,0,1612,0,269,0,2545,0,0,0,0,0,0
276,0,0,0,0,0,1960,0,0,0,0,677,0
277,0,0,0,0,0,2704,0,0,0,0,899,0
278,0,0,0,0,0,1599,0,0,0,0,557,0
279,0,0,0,0,0,1724,0,0,0,0,696,0
280,0,0,0,0,0,1764,0,0,0,0,669,0
281,0,0,0,0,0,1779,0,0,0,0,651,0
282,0,0,0,0,0,1986,0,0,0,0,715,0
283,0,0,0,0,0,2166,0,0,0,0,776,0
284,0,0,0,0,0,1731,0,0,0,0,609,0
285,0,0,0,0,0,1827,0,0,0,0,695,0
286,0,0,0,0,0,1175,0,0,0,0,513,0
287,0,0,0,0,0,2545,0,0,0,0,942,0
288,0,1160,0,0,0,1960,0,0,593,0,0,0
289,0,1660,0,0,0,2704,0,0,792,0,0,0
290,0,992,0,0,0,1599,0,0,470,0,0,0
291,0,1079,0,0,0,1724,0,0,583,0,0,0
292,0,1159,0,0,0,1764,0,0,565,0,0,0
293,0,1038,0,0,0,1779,0,0,565,0,0,0
294,0,1286,0,0,0,1986,0,0,669,0,0,0
295,0,1384,0,0,0,2166,0,0,701,0,0,0
296,0,1061,0,0,0,1731,0,0,556,0,0,0
297,0,1204,0,0,0,1827,0,0,620,0,0,0
298,0,834,0,0,0,1175,0,0,442,0,0,0
299,0,1612,0,0,0,2545,0,0,846,0,0,0
300,0,0,0,0,0,1960,0,590,593,0,677,0
301,0,0,0,0,0,2704,0,782,792,0,899,0
302,0,0,0,0,0,1599,0,492,470,0,557,0
303,0,0,0,0,0,1724,0,533,583,0,696,0
304,0,0,0,0,0,1764,0,601,565,0,669,0
305,0,0,0,0,0,1779,0,561,565,0,651,0
306,0,0,0,0,0,1986,0,629,669,0,715,0
307,0,0,0,0,0,2166,0,706,701,0,776,0
308,0,0,0,0,0,1731,0,562,556,0,609,0
309,0,0,0,0,0,1827,0,634,620,0,695,0
310,0,0,0,0,0,1175,0,412,442,0,513,0
311,0,0,0,0,0,2545,0,836,846,0,942,0
312,0,0,0,0,0,0,0,0,593,0,0,0
313,0,0,0,0,0,0,0,0,792,0,0,0
314,0,0,0,0,0,0,0,0,470,0,0,0
315,0,0,0,0,0,0,0,0,583,0,0,0
316,0,0,0,0,0,0,0,0,565,0,0,0
317,0,0,0,0,0,0,0,0,565,0,0,0
318,0,0,0,0,0,0,0,0,669,0,0,0
319,0,0,0,0,0,0,0,0,701,0,0,0
320,0,0,0,0,0,0,0,0,556,0,0,0
321,0,0,0,0,0,0,0,0,620,0,0,0
322,0,0,0,0,0,0,0,0,442,0,0,0
323,0,0,0,0,0,0,0,0,846,0,0,0
324,0,1160,0,0,0,1960,0,0,0,0,0,0
325,0,1660,0,0,0,2704,0,0,0,0,0,0
326,0,992,0,0,0,1599,0,0,0,0,0,0
327,0,1079,0,0,0,1724,0,0,0,0,0,0
328,0,1159,0,0,0,1764,0,0,0,0,0,0
329,0,1038,0,0,0,1779,0,0,0,0,0,0
330,0,1286,0,0,0,1986,0,0,0,0,0,0
331,0,1384,0,0,0,2166,0,0,0,0,0,0
332,0,1061,0,0,0,1731,0,0,0,0,0,0
333,0,1204,0,0,0,1827,0,0,0,0,0,0
334,0,834,0,0,0,1175,0,0,0,0,0,0
335,0,1612,0,0,0,2545,0,0,0,0,0,0
336,1407,1160,0,225,0,1960,0,590,593,0,677,0
337,1996,1660,0,286,0,2704,0,782,792,0,899,0
338,1176,992,0,142,0,1599,0,492,470,0,557,0
339,1325,1079,0,225,0,1724,0,533,583,0,696,0
340,1361,1159,0,224,0,1764,0,601,565,0,669,0
341,1279,1038,0,236,0,1779,0,561,565,0,651,0
342,1539,1286,0,247,0,1986,0,629,669,0,715,0
343,1673,1384,0,283,0,2166,0,706,701,0,776,0
344,1240,1061,0,199,0,1731,0,562,556,0,609,0
345,1430,1204,0,224,0,1827,0,634,620,0,695,0
346,1030,834,0,181,0,1175,0,412,442,0,513,0
347,1891,1612,0,269,0,2545,0,836,846,0,942,0
348,1407,0,0,0,0,1960,0,0,0,0,0,0
349,1996,0,0,0,0,2704,0,0,0,0,0,0
350,1176,0,0,0,0,1599,0,0,0,0,0,0
351,1325,0,0,0,0,1724,0,0,0,0,0,0
352,1361,0,0,0,0,1764,0,0,0,0,0,0
353,1279,0,0,0,0,1779,0,0,0,0,0,0
354,1539,0,0,0,0,1986,0,0,0,0,0,0
355,1673,0,0,0,0,2166,0,0,0,0,0,0
356,1240,0,0,0,0,1731,0,0,0,0,0,0
357,1430,0,0,0,0,1827,0,0,0,0,0,0
358,1030,0,0,0,0,1175,0,0,0,0,0,0
359,1891,0,0,0,0,2545,0,0,0,0,0,0
360,0,0,128,0,0,1960,0,590,593,0,0,0
361,0,0,163,0,0,2704,0,782,792,0,0,0
362,0,0,112,0,0,1599,0,492,470,0,0,0
363,0,0,104,0,0,1724,0,533,583,0,0,0
364,0,0,109,0,0,1764,0,601,565,0,0,0
365,0,0,121,0,0,1779,0,561,565,0,0,0
366,0,0,119,0,0,1986,0,629,669,0,0,0
367,0,0,150,0,0,2166,0,706,701,0,0,0
368,0,0,120,0,0,1731,0,562,556,0,0,0
369,0,0,141,0,0,1827,0,634,620,0,0,0
370,0,0,82,0,0,1175,0,412,442,0,0,0
371,0,0,186,0,0,2545,0,836,846,0,0,0
372,1407,1160,0,0,0,0,0,0,0,0,0,0
373,1996,1660,0,0,0,0,0,0,0,0,0,0
374,1176,992,0,0,0,0,0,0,0,0,0,0
375,1325,1079,0,0,0,0,0,0,0,0,0,0
376,1361,1159,0,0,0,0,0,0,0,0,0,0
377,1279,1038,0,0,0,0,0,0,0,0,0,0
378,1539,1286,0,0,0,0,0,0,0,0,0,0
379,1673,1384,0,0,0,0,0,0,0,0,0,0
380,1240,1061,0,0,0,0,0,0,0,0,0,0
381,1430,1204,0,0,0,0,0,0,0,0,0,0
382,1030,834,0,0,0,0,0,0,0,0,0,0
383,1891,1612,0,0,0,0,0,0,0,0,0,0
384,1407,0,128,0,0,1960,0,0,0,0,0,0
385,1996,0,163,0,0,2704,0,0,0,0,0,0
386,1176,0,112,0,0,1599,0,0,0,0,0,0
387,1325,0,104,0,0,1724,0,0,0,0,0,0
388,1361,0,109,0,0,1764,0,0,0,0,0,0
389,1279,0,121,0,0,1779,0,0,0,0,0,0
390,1539,0,119,0,0,1986,0,0,0,0,0,0
391,1673,0,150,0,0,2166,0,0,0,0,0,0
392,1240,0,120,0,0,1731,0,0,0,0,0,0
393,1430,0,141,0,0,1827,0,0,0,0,0,0
394,1030,0,82,0,0,1175,0,0,0,0,0,0
395,1891,0,186,0,0,2545,0,0,0,0,0,0
396,1407,1160,0,0,0,0,0,0,0,0,0,0
397,1996,1660,0,0,0,0,0,0,0,0,0,0
398,1176,992,0,0,0,0,0,0,0,0,0,0
399,1325,1079,0,0,0,0,0,0,0,0,0,0
400,1361,1159,0,0,0,0,0,0,0,0,0,0
401,1279,1038,0,0,0,0,0,0,0,0,0,0
402,1539,1286,0,0,0,0,0,0,0,0,0,0
403,1673,1384,0,0,0,0,0,0,0,0,0,0
404,1240,1061,0,0,0,0,0,0,0,0,0,0
405,1430,1204,0,0,0,0,0,0,0,0,0,0
406,1030,834,0,0,0,0,0,0,0,0,0,0
407,1891,1612,0,0,0,0,0,0,0,0,0,0
408,1407,0,0,0,0,0,0,0,0,0,0,0
409,1996,0,0,0,0,0,0,0,0,0,0,0
410,1176,0,0,0,0,0,0,0,0,0,0,0
411,1325,0,0,0,0,0,0,0,0,0,0,0
412,1361,0,0,0,0,0,0,0,0,0,0,0
413,1279,0,0,0,0,0,0,0,0,0,0,0
414,1539,0,0,0,0,0,0,0,0,0,0,0
415,1673,0,0,0,0,0,0,0,0,0,0,0
416,1240,0,0,0,0,0,0,0,0,0,0,0
417,1430,0,0,0,0,0,0,0,0,0,0,0
418,1030,0,0,0,0,0,0,0,0,0,0,0
419,1891,0,0,0,0,0,0,0,0,0,0,0
420,1407,0,0,0,0,0,0,0,0,0,0,0
421,1996,0,0,0,0,0,0,0,0,0,0,0
422,1176,0,0,0,0,0,0,0,0,0,0,0
423,1325,0,0,0,0,0,0,0,0,0,0,0
424,1361,0,0,0,0,0,0,0,0,0,0,0
425,1279,0,0,0,0,0,0,0,0,0,0,0
426,1539,0,0,0,0,0,0,0,0,0,0,0
427,1673,0,0,0,0,0,0,0,0,0,0,0
428,1240,0,0,0,0,0,0,0,0,0,0,0
429,1430,0,0,0,0,0,0,0,0,0,0,0
430,1030,0,0,0,0,0,0,0,0,0,0,0
431,1891,0,0,0,0,0,0,0,0,0,0,0
432,1407,1160,0,0,0,0,0,0,0,0,0,0
433,1996,1660,0,0,0,0,0,0,0,0,0,0
434,1176,992,0,0,0,0,0,0,0,0,0,0
435,1325,1079,0,0,0,0,0,0,0,0,0,0
436,1361,1159,0,0,0,0,0,0,0,0,0,0
437,1279,1038,0,0,0,0,0,0,0,0,0,0
438,1539,1286,0,0,0,0,0,0,0,0,0,0
439,1673,1384,0,0,0,0,0,0,0,0,0,0
440,1240,1061,0,0,0,0,0,0,0,0,0,0
441,1430,1204,0,0,0,0,0,0,0,0,0,0
442,1030,834,0,0,0,0,0,0,0,0,0,0
443,1891,1612,0,0,0,0,0,0,0,0,0,0
